id,village,type,status,total_usage
WP001,Othappai,Hand Pump,WORKING,14208
WP002,Putlur,Hand Pump,WORKING,33495
WP003,Mappedu,Hand Pump,WORKING,25249
WP004,Othappai,Hand Pump,WORKING,5236
WP005,Othappai,Public Tap,LOW_FLOW,17046
WP006,Perambakkam,Hand Pump,WORKING,41202
WP007,Pannur,Hand Pump,WORKING,14413
WP008,Othappai,Public Tap,WORKING,7804
WP009,Othappai,Hand Pump,WORKING,2765
WP010,Putlur,Hand Pump,WORKING,43494
WP011,Pannur,Hand Pump,WORKING,40623
WP012,Perambakkam,Hand Pump,WORKING,39921
WP013,Sholavaram,Hand Pump,WORKING,39024
WP014,Othappai,Public Tap,WORKING,15683
WP015,Putlur,Hand Pump,WORKING,42521
WP016,Mappedu,Hand Pump,WORKING,18885
WP017,Perambakkam,Public Tap,WORKING,10736
WP018,Katchur,Public Tap,WORKING,33548
WP019,Mappedu,Hand Pump,WORKING,15621
WP020,Perambakkam,Hand Pump,WORKING,41499
WP021,Putlur,Public Tap,WORKING,44672
WP022,Katchur,Hand Pump,WORKING,2339
WP023,Senji,Hand Pump,WORKING,33817
WP024,Katchur,Hand Pump,WORKING,27186
WP025,Katchur,Hand Pump,WORKING,36722
WP026,Senji,Public Tap,WORKING,7305
WP027,Katchur,Public Tap,WORKING,22246
WP028,Putlur,Hand Pump,WORKING,45436
WP029,Sholavaram,Hand Pump,WORKING,4039
WP030,Pannur,Hand Pump,WORKING,2576
WP031,Sholavaram,Hand Pump,WORKING,28027
WP032,Pannur,Hand Pump,WORKING,48215
WP033,Pannur,Hand Pump,LOW_FLOW,24848
WP034,Othappai,Hand Pump,WORKING,21355
WP035,Sholavaram,Hand Pump,WORKING,35085
WP036,Putlur,Public Tap,WORKING,32617
WP037,Putlur,Public Tap,WORKING,33037
WP038,Mappedu,Hand Pump,NOT_WORKING,43874
WP039,Senji,Hand Pump,WORKING,31608
WP040,Katchur,Hand Pump,WORKING,35189
WP041,Putlur,Hand Pump,WORKING,38956
WP042,Pannur,Hand Pump,WORKING,16451
WP043,Perambakkam,Hand Pump,WORKING,39063
WP044,Putlur,Hand Pump,WORKING,44197
WP045,Othappai,Hand Pump,WORKING,45889
WP046,Katchur,Public Tap,WORKING,16079
WP047,Mappedu,Hand Pump,WORKING,31610
WP048,Senji,Hand Pump,WORKING,16467
WP049,Putlur,Hand Pump,NOT_WORKING,33472
WP050,Putlur,Hand Pump,WORKING,37416
